GEOID,neighborhood_name
131210102233,Mt. Paran/Northside
130890224051,Emory
130890224052,Emory
130890215051,Emory
130890238014,East Atlanta
130890237012,The Villages at East Lake
130890209011,East Atlanta
130890224053,Emory
130890215061,Emory
130890224014,Edmund Park
130890211041,Ridgedale Park
130670312122,Paces
130670303551,Paces
130890209022,East Atlanta
130890237022,East Atlanta
130890237023,East Atlanta
130890215022,Morningside/Lenox Park
130890215023,Lindridge/Martin Manor
130890215054,Emory
130890234443,South River Gardens
130890201002,Morningside/Lenox Park
130890238023,Norwood Manor
130890238013,Woodland Hills
130890224012,Druid Hills
130890208024,East Lake
130890237021,East Atlanta
130670312132,Paces
130670313142,Atlanta Industrial Park
130670313162,Bankhead/Bolton
130890206001,Kirkwood
130670312141,Whittier Mill Village
130890211032,Brookhaven
130890224011,Druid Hills
130890214054,Pine Hills
130890224041,Emory
130890205003,Kirkwood
130890209012,Woodland Hills
130890209021,East Atlanta
130890237011,East Atlanta
130890214153,Pine Hills
130890236012,East Lake
130890202002,Candler Park
130890206002,Kirkwood
130890207002,Kirkwood
130890208012,Kirkwood
130890208011,The Villages at East Lake
131210080004,Adams Park
131210097003,Cross Creek
131210055012,Chosewood Park
131210023002,Washington Park
131210078051,Midwest Cascade
131210078052,Boulder Park
131210078061,Boulder Park
131210078071,Westhaven
131210078081,Fairburn Mays
131210079002,Cascade Heights
131210079003,Horseshoe Community
131210102111,Mt. Paran/Northside
131210102112,East Chastain Park
131210082021,Fairburn Heights
131210082022,Old Gordon
131210083012,Dixie Hills
131210083021,Penelope Neighbors
131210084002,Grove Park
131210085001,Grove Park
131210085002,Grove Park
131210007002,Knight Park/Howell Station
131210086011,Brookview Heights
131210086012,Center Hill
131210086014,Center Hill
131210086013,Center Hill
131210111001,Perkerson
131210111003,Perkerson
131210024002,Mozley Park
131210097002,Wildwood (NPU-C)
131210010021,Downtown
131210070022,Browns Mill Park
131210095011,Colonial Homes
131210113014,Continental Colony
131210113015,Continental Colony
131210097001,West Paces Ferry/Northside
131210098021,West Paces Ferry/Northside
131210071002,Norwood Manor
131210072002,South River Gardens
131210074001,Hammond Park
131210068011,Lakewood Heights
131210077032,Meadowbrook Forest
130890208022,The Villages at East Lake
131210014003,Old Fourth Ward
131210075001,Perkerson
131210075003,Perkerson
131210076023,Baker Hills at Campbellton
131210093012,Peachtree Hills
131210091051,Brookwood Hills
131210094081,Pine Hills
131210006021,Home Park
131210078092,Niskey Lake
131210082031,Collier Heights
131210078064,Fairburn Mays
131210078101,Kings Forest
131210077101,Huntington
131210113091,Greenbriar
131210057002,Adair Park
131210096042,Garden Hills
131210055042,The Villages at Carver
131210038002,Atlanta University Center
131210030003,Inman Park
131210006022,Home Park
131210094101,Pine Hills
131210011012,Midtown
131210077092,Princeton Lakes
131210094102,Pine Hills
131210011021,Midtown
131210011011,Midtown
131210011013,Midtown
131210011022,Midtown
131210012041,Midtown
131210012042,Midtown
131210012051,Midtown
131210012052,Downtown
131210012032,Old Fourth Ward
131210013011,Midtown
131210119011,Downtown
131210019021,Downtown
131210019022,Old Fourth Ward
131210013012,Old Fourth Ward
131210091042,Ardmore
131210096043,Garden Hills
131210089061,Underwood Hills
131210089071,Underwood Hills
131210095041,Peachtree Heights West
131210098041,Wildwood (NPU-C)
131210098042,Brandon
131210029002,Inman Park
131210005021,Midtown
131210089053,Knight Park/Howell Station
131210006012,Georgia Tech
131210118022,Vine City
131210010022,Downtown
131210006013,Georgia Tech
131210094051,Lindridge/Martin Manor
131210092031,Morningside/Lenox Park
131210002022,Virginia Highland
131210089091,Berkeley Park
131210087011,English Park
131210094112,Pine Hills
131210094092,Lindbergh/Morosgo
131210102114,East Chastain Park
130890224013,Edmund Park
131210100032,Peachtree Park
131210092032,Lindridge/Martin Manor
131210100061,North Buckhead
131210094062,Lindridge/Martin Manor
131210021002,Downtown
131210012061,Midtown
131210012062,Midtown
131210012063,Midtown
131210089062,Underwood Hills
131210089051,Berkeley Park
131210091032,Brookwood
131210005013,Home Park
130890224031,Kirkwood
130890224032,Druid Hills
131210078103,Kings Forest
131210063002,Adair Park
131210076032,Fort Valley
130890227001,East Lake
130890229002,East Lake
130890231012,East Lake
131210001004,Morningside/Lenox Park
131210001001,Virginia Highland
131210098022,Paces
131210077102,Huntington
130890227003,East Lake
131210100033,Tuxedo Park
131210101362,North Buckhead
131210100041,East Chastain Park
131210100051,North Buckhead
131210100031,Tuxedo Park
131210100072,Lenox
131210101361,North Buckhead
130890231013,East Lake
131210036002,Atlanta University Center
131210019023,Old Fourth Ward
131210017012,Old Fourth Ward
131210119013,Sweet Auburn
131210018021,Old Fourth Ward
131210028011,Sweet Auburn
131210018011,Old Fourth Ward
131210099005,Tuxedo Park
131210103123,Midwest Cascade
131210119022,Grant Park
131210018022,Old Fourth Ward
131210028022,Sweet Auburn
131210028021,Sweet Auburn
131210016002,Inman Park
131210032002,Grant Park
131210084004,Grove Park
131210025003,Atlanta University Center
131210019011,Downtown
131210026002,Atlanta University Center
131210005014,Midtown
131210118021,Historic Westin Heights/Bankhead
131210077091,Princeton Lakes
131210113092,Princeton Lakes
131210073021,Blair Villa/Poole Creek
131210077112,Brentwood
131210015021,Atkins Park
131210112032,Sylvan Hills
131210110003,Hammond Park
131210088011,Lincoln Homes
131210087013,Carey Park
131210088021,Hills Park
131210108023,Blair Villa/Poole Creek
131210108011,Blair Villa/Poole Creek
131210108021,Blair Villa/Poole Creek
131210017022,Inman Park
131210089052,Knight Park/Howell Station
131210087022,West Highlands
131210087021,West Highlands
131210088022,West Highlands
131210089081,Berkeley Park
131210090022,Channing Valley
131210090012,Channing Valley
131210091033,Brookwood
131210089082,Loring Heights
131210078094,Elmco Estates
131210070014,Browns Mill Park
131210073014,Glenrose Heights
131210070012,Browns Mill Park
131210077071,Greenbriar
131210112041,Sylvan Hills
131210077081,Greenbriar
131210077082,Southwest
131210076042,Campbellton Road
131210112042,Fort Valley
131210005012,Atlantic Station
131210005011,Home Park
131210067022,Polar Rock
131210055032,Lakewood Heights
131210067021,Lakewood Heights
131210090021,Channing Valley
131210091061,Brookwood Hills
131210092021,Morningside/Lenox Park
131210001005,Morningside/Lenox Park
131210100052,North Buckhead
131210077072,Southwest
131210089073,Wildwood (NPU-C)
131210089072,Underwood Hills
131210095014,Peachtree Battle Alliance
131210095012,Garden Hills
131210094053,Peachtree Hills
131210094052,Peachtree Hills
131210067012,High Point
131210044002,Pittsburgh
131210092012,Lindridge/Martin Manor
131210091062,Brookwood Hills
131210093023,Peachtree Hills
131210094082,Lindbergh/Morosgo
131210102113,East Chastain Park
131210099001,Kingswood
131210079004,Green Forest Acres
131210042003,Adair Park
131210120003,Mechanicsville
131210098031,Castlewood
